sample,success_ratio,trans_rate,switch_ratio,power
1,97.72,12.66,0.4,39.73
1,97.44,12.56,0.42,39.89
1,97.13,12.5,0.47,39.89
1,96.15,12.31,0.5,40.09
1,95.64,12.25,0.51,40.25
1,94.32,12.0,0.54,40.44
1,91.95,11.54,0.55,40.35
1,90.83,11.41,0.57,40.31
1,89.27,11.0,0.58,40.6
1,88.16,10.8,0.58,40.78
2,96.9,12.33,0.42,41.05
2,96.45,12.23,0.45,40.96
2,95.93,12.17,0.46,40.94
2,95.34,12.09,0.49,40.73
2,94.53,11.91,0.51,40.72
2,92.81,11.51,0.53,40.7
2,91.48,11.28,0.54,40.57
2,88.25,10.73,0.56,40.57
2,86.66,10.48,0.59,40.61
2,83.79,10.02,0.61,40.48
3,81.67,8.17,0.33,41.37
3,77.99,7.8,0.35,41.39
3,79.26,7.93,0.37,41.32
3,78.47,7.85,0.38,41.34
3,76.44,7.64,0.42,41.45
3,75.38,7.54,0.43,41.39
3,71.08,7.11,0.47,41.48
3,70.69,7.07,0.48,41.54
3,68.0,6.8,0.51,41.58
3,67.48,6.75,0.53,41.56
4,87.57,10.56,0.5,40.46
4,86.31,10.33,0.52,40.56
4,83.54,9.92,0.56,40.55
4,82.66,9.8,0.56,40.62
4,80.79,9.53,0.57,40.74
4,78.15,9.19,0.54,40.9
4,75.63,8.81,0.57,41.04
4,71.63,8.27,0.6,40.97
4,70.95,8.02,0.64,40.99
4,70.35,7.98,0.64,41.11
5,85.65,9.98,0.99,44.0
5,82.81,9.66,0.99,44.0
5,81.39,9.48,0.99,44.0
5,79.8,9.32,0.99,44.0
5,77.91,9.09,0.99,44.0
5,77.94,9.09,0.99,44.0
5,76.47,8.94,0.99,44.0
5,75.01,8.74,0.99,44.0
5,71.93,8.39,0.99,44.0
5,69.52,8.11,0.99,44.0
6,87.95,10.26,0.62,44.0
6,84.7,9.88,0.63,44.0
6,80.01,9.32,0.62,44.0
6,77.74,9.05,0.62,44.0
6,78.61,9.17,0.62,44.0
6,77.31,9.03,0.63,44.0
6,75.05,8.75,0.62,44.0
6,74.07,8.63,0.63,44.0
6,68.24,7.96,0.62,44.0
6,65.41,7.63,0.63,44.0
